severity,category,trail_id,trail_name,region,nearest_town,details
high,contact_email_region_mismatch,66,"Водопад ""Боров Камък"", Врачанска екопътека",Врачански Балкан,Враца,"contact email suggests Plovdiv, but record region is 'Врачански Балкан'"
high,contact_email_region_mismatch,67,Врачанска екопътека – Згориград,Врачански Балкан,село Згориград,"contact email suggests Plovdiv, but record region is 'Врачански Балкан'"
high,contact_email_region_mismatch,68,Исторически маршрут „Антична и средновековна Вратица”,Врачански Балкан,Враца,"contact email suggests Plovdiv, but record region is 'Врачански Балкан'"
high,contact_email_region_mismatch,69,Исторически маршрут „По стъпките на Ботевата чета”,Врачански Балкан,Враца,"contact email suggests Plovdiv, but record region is 'Врачански Балкан'"
high,contact_email_region_mismatch,70,Местност КАРИЕРАТА – къмпинг над с. Згориград,Врачански Балкан,Згориград,"contact email suggests Plovdiv, but record region is 'Врачански Балкан'"
high,contact_email_region_mismatch,71,Наследствена пътека с. Очин дол,Врачански Балкан,Очин дол,"contact email suggests Plovdiv, but record region is 'Врачански Балкан'"
high,contact_email_region_mismatch,72,Познавателен маршрут „Белоглавият лешояд в ПП Врачански Балкан”,Врачански Балкан,Долно Озирово,"contact email suggests Plovdiv, but record region is 'Врачански Балкан'"
high,contact_email_region_mismatch,73,Познавателен маршрут „Враца – пещера Леденика”,Врачански Балкан,Враца,"contact email suggests Plovdiv, but record region is 'Врачански Балкан'"
high,contact_email_region_mismatch,74,Познавателен маршрут „Карст и биологично разнообразие”,Врачански Балкан,Враца,"contact email suggests Plovdiv, but record region is 'Врачански Балкан'"
high,contact_email_region_mismatch,75,Познавателен маршрут „Планинарство за начинаещи”,Врачански Балкан,Враца,"contact email suggests Plovdiv, but record region is 'Врачански Балкан'"
high,contact_email_region_mismatch,76,Спортно-туристически маршрут „Горска пътека на здравето“,Врачански Балкан,Враца,"contact email suggests Plovdiv, but record region is 'Врачански Балкан'"
high,contact_email_region_mismatch,77,"Екопътека ""Иванчова поляна""",Вършец,Вършец,"contact email suggests Plovdiv, but record region is 'Вършец'"
high,contact_email_region_mismatch,85,"Екопъ3тека ""Римският път""",Габрово,Боженци,"contact email suggests Plovdiv, but record region is 'Габрово'"
high,contact_email_region_mismatch,86,"Екопътека ""Витата стена""",Габрово,Габрово,"contact email suggests Plovdiv, but record region is 'Габрово'"
high,contact_email_region_mismatch,87,"Екопътека ""Градище-Кметовци""",Габрово,Габрово,"contact email suggests Plovdiv, but record region is 'Габрово'"
high,contact_email_region_mismatch,88,"Екопътека ""Градище-пазителката на прохода""",Габрово,Габрово,"contact email suggests Plovdiv, but record region is 'Габрово'"
high,contact_email_region_mismatch,89,"Екопътека ""Люляци–Дебел дял""",Габрово,Габрово,"contact email suggests Plovdiv, but record region is 'Габрово'"
high,contact_email_region_mismatch,90,"Екопътека ""Могила""",Габрово,Дряново,"contact email suggests Plovdiv, but record region is 'Габрово'"
high,contact_email_region_mismatch,91,"Екопътека ""Узана""",Габрово,Узана,"contact email suggests Plovdiv, but record region is 'Габрово'"
high,contact_email_region_mismatch,92,"Екопътека Трявна - АИР ""Боженци""",Габрово,Трявна,"contact email suggests Plovdiv, but record region is 'Габрово'"
high,contact_email_region_mismatch,94,Дряновска екопътека,Габровска област,Дряново,"contact email suggests Plovdiv, but record region is 'Габровска област'"
high,contact_email_region_mismatch,95,Екопътека Via Ferrata,Габровска област,Дряново,"contact email suggests Plovdiv, but record region is 'Габровска област'"
high,contact_email_region_mismatch,96,"Екопътека ""Камъка"" - Горна Оряховица",Горна Оряховица,Горна Оряховица,"contact email suggests Plovdiv, but record region is 'Горна Оряховица'"
high,contact_email_region_mismatch,99,Ботаническа алея за незрящи,Дендрариум,София,"contact email suggests Plovdiv, but record region is 'Дендрариум'"
high,contact_email_region_mismatch,100,"Екопътека и Скален феномен ""Марков камък"" – Елена",Елена,Елена,"contact email suggests Plovdiv, but record region is 'Елена'"
