severity,category,trail_id,trail_name,region,nearest_town,details
high,name_not_reflected_in_content,76,Спортно-туристически маршрут „Горска пътека на здравето“,Врачански Балкан,Враца,"none of the core name tokens appear in description/summary: туристически, горска"
high,name_not_reflected_in_content,80,E3 Етап 6: Тетевен - Чулово,Габрово,Габрово,"none of the core name tokens appear in description/summary: тетевен, чулово"
high,name_not_reflected_in_content,81,E3 Етап 7: Чулово - Боян,Габрово,Габрово,none of the core name tokens appear in description/summary: чулово
high,name_not_reflected_in_content,91,"Екопътека ""Узана""",Габрово,Узана,none of the core name tokens appear in description/summary: узана
high,name_not_reflected_in_content,99,Ботаническа алея за незрящи,Дендрариум,София,"none of the core name tokens appear in description/summary: ботаническа, незрящи"
high,name_not_reflected_in_content,111,"Екопътека ""Божения""",Красен-Божичен,Божичен,none of the core name tokens appear in description/summary: божения
high,name_not_reflected_in_content,112,"Екопътека ""Пътят на Сърцето""",Кърджали,Борово,none of the core name tokens appear in description/summary: сърцето
high,name_not_reflected_in_content,123,"Екопътека ""Нагоре към Слънцето""",Ловеч,Бабинци,"none of the core name tokens appear in description/summary: нагоре, слънцето"
high,name_not_reflected_in_content,124,"Екопътека ""Опасният зъб""",Ловеч,Тетевен,none of the core name tokens appear in description/summary: опасният
high,name_not_reflected_in_content,126,"Екопътека ""Под пръските на водопада""",Ловеч,Тетевен,"none of the core name tokens appear in description/summary: пръските, водопада"
high,name_not_reflected_in_content,149,"Екопътека ""Попската скала""",Плевен,Плевен,"none of the core name tokens appear in description/summary: попската, скала"
high,name_not_reflected_in_content,150,"Екопътека ""Черне3лка""",Плевен,Горталово,none of the core name tokens appear in description/summary: черне3лка
high,name_not_reflected_in_content,157,Алея на билките,Пловдив,,none of the core name tokens appear in description/summary: билките
high,name_not_reflected_in_content,159,Ардинци,Пловдив,,none of the core name tokens appear in description/summary: ардинци
high,name_not_reflected_in_content,163,Бабин пласт,Пловдив,,"none of the core name tokens appear in description/summary: бабин, пласт"
