priority_tier,importance_score,id,name,nearest_town,current_region,latitude,longitude,source_status,metadata_source_count,photo_present,attractions_count,duration,max_altitude_m,review_basis,next_action
P2,55,180,Бистришко бранище,,Пловдив,42.585,23.36,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,181,Бодрост,,Пловдив,42.043164,23.334354,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,183,Божият мост,,Пловдив,43.308889,23.518611,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,184,Болата,,Пловдив,43.382735,28.47022,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,185,Ботев връх,,Пловдив,42.6467,24.9756,source,1,no,0,5-6 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,493,Боянски водопад,,София,42.646157,23.267215,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,494,Боянско езеро,,София,42.646157,23.267215,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,186,Бродилово,,Пловдив,42.0833,27.85,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,187,Бузлуджа,,Пловдив,42.735947,25.393749,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,188,Буйновско ждрело,,Пловдив,41.649442,24.335073,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,189,Буная,,Пловдив,42.59225,24.3228,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,190,Българи,,Пловдив,42.087988,27.729614,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,191,Бяла река,,Пловдив,42.657538,24.962136,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,192,В царството на зелениката,,Пловдив,42.093567,27.681002,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,511,"Вазова екопътека (Гара Бов)
3. \* Екопътека",,Теменуга,43.020677,23.360669,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,193,Варовитец,,Пловдив,42.824047,24.038876,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,194,Велека,,Пловдив,42.0642,27.9711,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,195,Видимско пръскало,,Пловдив,42.7814,24.921462,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,196,Вкаменената сватба,,Пловдив,41.6447,25.4322,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,197,Врабча,,Пловдив,42.862165,22.701903,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,198,Вратцата,,Пловдив,43.192947,23.518228,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,62,Врацата,,Враца,43.192947,23.518228,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,199,Врелото,,Пловдив,42.9774,23.0441,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,200,Вълчи камък,,Пловдив,41.664222,24.383083,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,201,Геопарк Искър-Панега,,Пловдив,43.238611,24.128611,source,1,no,0,2-3 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,202,Гложенски манастир,,Пловдив,42.973333,24.166389,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,203,Голяма Сюткя,,Пловдив,41.812,24.116,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,204,Горица,,Пловдив,42.247,23.23,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,205,Горна земя,,Пловдив,41.4728,24.6346,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,206,Градище,,Пловдив,42.8943,25.3283,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,207,Граматиково,,Пловдив,42.0294,27.6536,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,208,Двете реки,,Пловдив,41.657222,23.951944,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,210,Дерменка,,Пловдив,42.780354,24.605942,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,15,Долина на река Благоевградска Бистрица,,Благоевград,42.025,23.111,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,211,Долмените,,Пловдив,42.062,27.568,source,1,no,0,3-4 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
P2,55,495,Драгалевци – Черни връх,,София,42.63,23.305,source,1,no,0,5-6 часа,,source; 1 metadata source(s); duration; rich_description,Fill length_km from source page or manual editorial review.
